Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001336,02-06-2015,INR,DixonTechnologies (India) ,248.375,KG,158689.271,0.000,0.000,3571.000,0.000,19836.000,0.000,0.000,0.000,182096.271
SI001337,02-06-2015,INR,N.J.ELECTRONICS,255.310,KG,135651.309,0.000,0.000,0.000,0.000,16956.000,6104.000,1526.000,0.000,160237.309
SI001338,02-06-2015,INR,ANU INDUSTRIES LTD ,44.720,KG,25375.470,0.000,400.000,571.000,0.000,3172.000,0.000,0.000,0.000,29518.470
SI001339,02-06-2015,INR,GSP Electronics Pvt Ltd,299.140,KG,158373.690,0.000,0.000,0.000,0.000,19797.000,7127.000,1782.000,0.000,187079.690
SI001340,02-06-2015,INR,Mandeep Cables P Ltd,2985.000,KG,25372.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25372.500
SI001341,02-06-2015,INR,PREETHI KITCHEN ,622.855,KG,171664.458,0.000,0.000,3862.000,0.000,21458.000,0.000,0.000,0.000,196984.458
SI001342,02-06-2015,INR,G K WINDING WIRES ,1505.500,KG,739742.480,0.000,0.000,0.000,0.000,92468.000,0.000,0.000,0.000,832210.480
SI001343,02-06-2015,INR,G K WINDING WIRES ,1012.785,KG,210314.933,0.000,0.000,0.000,0.000,26289.000,0.000,0.000,0.000,236603.933
SI001344,03-06-2015,INR,Denso India Ltd.,75.000,KG,36684.750,0.000,0.000,0.000,0.000,4586.000,1651.000,413.000,0.000,43334.750
SI001345,03-06-2015,INR,Denso India Ltd.,315.000,KG,154075.950,0.000,0.000,0.000,0.000,19259.000,6933.000,1733.000,0.000,182000.950
SI001346,03-06-2015,INR,Denso India Ltd.,85.000,KG,42511.050,0.000,0.000,0.000,0.000,5314.000,1913.000,478.000,0.000,50216.050
SI001347,03-06-2015,INR,Denso India Ltd.,338.000,KG,169043.940,0.000,0.000,0.000,0.000,21130.000,7607.000,1902.000,0.000,199682.940
SI001348,03-06-2015,INR,Denso India Ltd.,555.000,KG,277572.150,0.000,0.000,0.000,0.000,34697.000,12491.000,3123.000,0.000,327883.150
SI001349,03-06-2015,INR,Denso India Ltd.,283.000,KG,138423.790,0.000,0.000,0.000,0.000,17303.000,6229.000,1557.000,0.000,163512.790
SI001350,03-06-2015,INR,Denso India Ltd.,108.000,KG,53906.040,0.000,0.000,0.000,0.000,6738.000,2426.000,606.000,0.000,63676.040
SI001351,03-06-2015,INR,Denso India Ltd.,470.000,KG,234591.100,0.000,0.000,0.000,0.000,29324.000,10557.000,2639.000,0.000,277111.100
SI001352,03-06-2015,INR,Denso India Ltd.,396.000,KG,197259.480,0.000,0.000,0.000,0.000,24657.000,8877.000,2219.000,0.000,233012.480
SI001353,03-06-2015,INR,Denso India Ltd.,172.000,KG,85850.360,0.000,0.000,0.000,0.000,10731.000,3863.000,966.000,0.000,101410.360
SI001354,03-06-2015,INR,Denso India Ltd.,255.000,KG,132633.150,0.000,0.000,0.000,0.000,16579.000,5968.000,1492.000,0.000,156672.150
SI001355,03-06-2015,INR,Denso India Ltd.,623.000,KG,306596.990,0.000,0.000,0.000,0.000,38325.000,13797.000,3449.000,0.000,362167.990
SI001356,03-06-2015,INR,G K WINDING WIRES ,1089.895,KG,538993.923,0.000,0.000,0.000,0.000,67374.000,0.000,0.000,0.000,606367.923
SI001357,03-06-2015,INR,NTL ElECTRONICS INDIA ,1278.490,KG,673960.095,0.000,0.000,0.000,0.000,84245.000,30328.000,7582.000,0.000,796115.095
SI001358,03-06-2015,INR,L G Electronics India (P) ,1677.810,KG,840913.960,0.000,0.000,0.000,0.000,105114.000,37841.000,9461.000,0.000,993329.960
SI001359,03-06-2015,INR,DIXON TECHNOLOGOES,327.580,KG,177719.058,0.000,0.000,0.000,0.000,22215.000,7997.000,1999.000,0.000,209930.058
SI001360,03-06-2015,INR,DixonTechnologies (India) ,24.160,KG,17320.546,0.000,0.000,390.000,0.000,2165.000,0.000,0.000,0.000,19875.546
SI001361,03-06-2015,INR,DixonTechnologies (India) ,97.645,KG,61214.627,0.000,0.000,1377.000,0.000,7652.000,0.000,0.000,0.000,70243.627
SI001362,03-06-2015,INR,Nrjee System U-II,333.720,KG,179017.420,0.000,0.000,0.000,0.000,22377.000,8056.000,2014.000,0.000,211464.420
SI001363,03-06-2015,INR,SYNFLEX-ELEKTRO P ,194.055,KG,111471.014,0.000,0.000,0.000,0.000,13934.000,5016.000,1254.000,0.000,131675.014
SI001364,03-06-2015,INR,SAZAYA & COMPANY,44.000,PCS,9240.000,0.000,0.000,0.000,0.000,1155.000,416.000,104.000,0.000,10915.000
SI001365,03-06-2015,INR,SAZAYA & COMPANY,1670.000,KGS,5010.000,0.000,0.000,0.000,0.000,0.000,200.000,50.000,0.000,5260.000
