Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Additional Custom Duty,Basic Custom Duty,Cst Purchase @1%,Cst Purchase @2%,Cvd,Ec On Purchase @2%,Excise On Purchase -6.00%,Excise On Purchase 12.50%,Excise On Purchase @14%,Hec On Purchase @1%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,,Net Amount
,,,,,,,,,"RIBBON-80X300 (WAX 1"" CORE)",PCS,10.00,3360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.00,0.00,34.00,0.00,3528.00
PB0000602,30-06-2015,SHARMIL PACKAGING,,018/MRN-869,29-06-2015,,,INR,PRINTING ITEMS,PCS,25.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00
PB0000603,30-06-2015,MAHESH PAINTS & HARDWARE STORE,,337/MRN-865,29-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,2.00,921.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,921.00
PB0000604,30-06-2015,Oberoi Electrical India,,7722/MRN-786,19-06-2015,,,INR,MOTORS & PUMPS & STARTERS,PCS,1.00,18879.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18879.00
PB0000605,30-06-2015,Meena Dies Repair,,MRN-798/468,13-06-2015,,,INR,DIES WIRE DRAWING PCD,PCS,5.00,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.00
PB0000606,30-06-2015,Komal Packaging System,RCPT0000000143,3367/MRN-758,16-06-2015,3367/MRN-758,17-06-2015,INR,STRAPPING ROLL,PCS,3.00,2190.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2234.00
PB0000607,30-06-2015,Meena Dies Repair,,MRN-704/476,,,,INR,DIES WIRE DRAWING PCD,PCS,11.00,1540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1540.00
PB0000608,30-06-2015,OYSTER STEEL & IRON PRIVATE LIMITED,RCPT0000000146,1153,11-06-2015,MRN-711,,INR,COPPER WIRE / ROD,KG,2999.00,1283542.01,0.00,0.00,0.00,14432.00,0.00,0.00,0.00,0.00,159663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457637.01
PB0000609,30-06-2015,OYSTER STEEL & IRON PRIVATE LIMITED,RCPT0000000147,1152/MRN-710,11-06-2015,1152/MRN-710,13-06-2015,INR,COPPER WIRE / ROD,KG,2971.00,1271558.29,0.00,0.00,0.00,14297.00,0.00,0.00,0.00,0.00,158173.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1444028.29
PB0000610,30-06-2015,OYSTER STEEL & IRON PRIVATE LIMITED,RCPT0000000148,1151/MRN709,11-06-2015,1151/MRN709,13-06-2015,INR,COPPER WIRE / ROD,KG,2974.00,1272842.26,0.00,0.00,0.00,14312.00,0.00,0.00,0.00,0.00,158332.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1445486.26
PB0000611,30-06-2015,ANU LUBES,RCPT0000000073,136,30-06-2015,891,30-06-2015,INR,LUB. OIL ( GRADE 40 ),L,1254.00,164662.74,0.00,0.00,0.00,0.00,0.00,0.00,333.00,0.00,0.00,16667.00,167.00,0.00,7273.00,0.00,1818.00,0.00,190920.74
PB0000612,30-06-2015,Hindalco,RCPT0000000149,DGH/15000753/MRN-845,26-06-2015,DGH/15000753/MRN-845,26-06-2015,INR,COPPER WIRE / ROD,KG,2989.00,1204315.92,1494.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159164.00,0.00,0.00,0.00,54539.00,0.00,13635.00,0.00,1430159.42
PB0000613,30-06-2015,Hindalco,RCPT0000000150,DGH/15000757/MRN-855,27-06-2015,DGH/15000757/MRN-855,27-06-2015,INR,COPPER WIRE / ROD,KG,5973.00,2406617.27,2986.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318062.00,0.00,0.00,0.00,108987.00,0.00,27247.00,0.00,2857926.77
PB0000614,30-06-2015,VIKAS SPOOL PVT. LTD. (SUPPLIER),RCPT0000000144,VSPL/640,19-06-2015,MRN-798,20-06-2015,INR,PLAS SPOOL PT- 90,PCS,8.00,2240.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2570.00
,,,,,,,,,,,127.00,38100.00,0.00,0.00,0.00,0.00,857.00,0.00,0.00,0.00,4763.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43720.00
,,,,,,,,,PLAS SPOOL PT-04,PCS,200.00,3800.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00,475.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4361.00
,,,,,,,,,PLAS SPOOL PT-10,PCS,1000.00,35500.00,0.00,0.00,0.00,0.00,799.00,0.00,0.00,0.00,4438.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40737.00
,,,,,,,,,PLAS SPOOL PT-25,PCS,1200.00,51300.00,0.00,0.00,0.00,0.00,1154.00,0.00,0.00,0.00,6413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58867.00
,,,,,,,,,PLASTIC SPOOL PT-20,PCS,480.00,49920.00,0.00,0.00,0.00,0.00,1123.00,0.00,0.00,0.00,6240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57283.00
PB0000615,30-06-2015,Arvind Bearing & Mill Store,RCPT0000000074,702/MRN-752,16-06-2015,702/MRN-752,17-06-2015,INR,BEARING - 6006 2Z,PCS,2.00,404.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,4.00,0.00,424.60
PB0000616,30-06-2015,Arvind Bearing & Mill Store,RCPT0000000075,803/MRN-803,27-06-2015,803/MRN-803,27-06-2015,INR,B- 122 V BELT,PCS,2.00,1024.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,10.00,0.00,1075.80
PB0000617,30-06-2015,Om Wooden Industries,RCPT0000000145,,,,,INR,WOODEN PALLET 37*37,PCS,25.00,18375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.00,0.00,184.00,0.00,19294.00
PB0000618,30-06-2015,KHUSI ENTERPRISES,RCPT0000000146,256/MRN-746,16-06-2015,256/MRN-746,16-06-2015,INR,THERMOCOL PACKING BOXES,PCS,2.00,1900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.00,0.00,0.00,0.00,86.00,0.00,21.00,0.00,2245.00
PB0000685,30-06-2015,Dash International,RCPT0000000160,334/MRN-811,22-06-2015,334/MRN-811,22-06-2015,INR,BARCODE PAPER LABEL-75X75X1,PCS,12500.00,4187.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,523.00,0.00,0.00,0.00,188.00,0.00,47.00,0.00,4945.50
PB0000686,30-06-2015,Arvind Bearing & Mill Store,RCPT0000000083,764/MRN-830,23-06-2015,764/MRN-830,24-06-2015,INR,BEARING- 6802ZZ,PCS,12.00,1596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,16.00,0.00,1676.00
 Total :,,,,,,,,,,,581899.70,139749056.57,103745.50,138594.66,278391.89,473633.00,154307.54,382788.60,13556.07,724.98,17292082.00,50687.00,6778.86,19717.62,4060724.00,2366.11,1015181.00,0.00,166248494.85
