 Order No, Order Date,Item Description,Unit,Qty,Price ,Order Value, G.E. No,G.E. Date,G.E. Qty ,Receipt No.,Receipt Date,Receipt Qty. ,QC Ok Qty,QC Date, Invoice No,Invoice Date,Return No,Date,Qty
,,,,,,,GE0000000062,13/05/2015,3803,RCPT0000000063,13/05/2015,3803,,,PB0000382,08/06/2015
,,,,,,,,,,,,,,,PB0000156,13/05/2015
,,,,,,,GE0000000063,13/05/2015,2029,RCPT0000000064,13/05/2015,2029,,,PB0000381,08/06/2015
,,,,,,,,,,,,,,,PB0000157,13/05/2015
,,,,,,,GE0000000067,15/05/2015,2087,RCPT0000000068,15/05/2015,2087,,,PB0000396,08/06/2015
,,,,,,,,,,,,,,,PB0000175,15/05/2015
,,,,,,,GE0000000068,15/05/2015,4020,RCPT0000000069,15/05/2015,4020,,,PB0000392,08/06/2015
,,,,,,,,,,,,,,,PB0000176,15/05/2015
,,,,,,,GE0000000069,15/05/2015,2987,RCPT0000000070,15/05/2015,2987,,,PB0000389,08/06/2015
,,,,,,,,,,,,,,,PB0000177,15/05/2015
,,,,,,,GE0000000070,15/05/2015,3012,RCPT0000000071,15/05/2015,3012,,,PB0000384,08/06/2015
,,,,,,,,,,,,,,,PB0000178,15/05/2015
,,,,,,,GE0000000071,15/05/2015,5935,RCPT0000000072,15/05/2015,5935,,,PB0000390,08/06/2015
,,,,,,,,,,,,,,,PB0000179,15/05/2015
,,,,,,,GE0000000072,15/05/2015,5879,RCPT0000000073,15/05/2015,5879,,,PB0000383,08/06/2015
,,,,,,,,,,,,,,,PB0000180,15/05/2015
,,,,,,,GE0000000073,15/05/2015,6157,RCPT0000000074,15/05/2015,6157,,,PB0000393,08/06/2015
,,,,,,,,,,,,,,,PB0000181,15/05/2015
,,,,,,,GE0000000074,15/05/2015,5946,RCPT0000000075,15/05/2015,5946,,,PB0000394,08/06/2015
,,,,,,,,,,,,,,,PB0000183,15/05/2015
,,,,,,,GE0000000075,15/05/2015,5918,RCPT0000000076,15/05/2015,5918,,,PB0000380,08/06/2015
,,,,,,,,,,,,,,,PB0000185,15/05/2015
,,,,,,,GE0000000076,15/05/2015,5929,RCPT0000000077,15/05/2015,5929,,,PB0000397,08/06/2015
,,,,,,,,,,,,,,,PB0000186,15/05/2015
,,,,,,,GE0000000098,31/05/2015,6222,RCPT0000000099,31/05/2015,6222,,,PB0000422,10/06/2015
,,,,,,,,,,,,,,,PB0000333,31/05/2015
,,,,,,,GE0000000094,31/05/2015,2983,RCPT0000000095,31/05/2015,2983,,,PB0000417,10/06/2015
,,,,,,,,,,,,,,,PB0000324,31/05/2015
,,,,,,,GE0000000095,31/05/2015,2987,RCPT0000000096,31/05/2015,2987,,,PB0000416,10/06/2015
,,,,,,,,,,,,,,,PB0000325,31/05/2015
,,,,,,,GE0000000077,31/05/2015,6003,RCPT0000000078,31/05/2015,6003,,,PB0000428,10/06/2015
,,,,,,,,,,,,,,,PB0000276,31/05/2015
,,,,,,,GE0000000078,31/05/2015,5968,RCPT0000000079,31/05/2015,5968,,,PB0000423,10/06/2015
,,,,,,,,,,,,,,,PB0000277,31/05/2015
,,,,,,,GE0000000079,31/05/2015,1990,RCPT0000000080,31/05/2015,1990,,,PB0000426,10/06/2015
,,,,,,,,,,,,,,,PB0000286,31/05/2015
,,,,,,,GE0000000080,31/05/2015,3853,RCPT0000000081,31/05/2015,3853,,,PB0000425,10/06/2015
,,,,,,,,,,,,,,,PB0000287,31/05/2015
,,,,,,,GE0000000081,31/05/2015,6010,RCPT0000000082,31/05/2015,6010,,,PB0000424,10/06/2015
,,,,,,,,,,,,,,,PB0000288,31/05/2015
,,,,,,,GE0000000082,31/05/2015,3012,RCPT0000000083,31/05/2015,3012,,,PB0000427,10/06/2015
,,,,,,,,,,,,,,,PB0000289,31/05/2015
,,,,,,,GE0000000083,31/05/2015,2987,RCPT0000000084,31/05/2015,2987,,,PB0000429,10/06/2015
,,,,,,,,,,,,,,,PB0000290,31/05/2015
PO00049,05/05/2015,PLAS SPOOL PT-10,PCS,3500,35.50,124250.00,GE0000000031,11/05/2015,3500,RCPT0000000083,11/05/2015,3500,,,PB0000141,11/05/2015
PO00058,06/05/2015,TEA & COFFEE,KG,32,190.00,6080.00,,,,,,,,,,
PO00059,06/05/2015,WAX PARAFIN,KG,4,816.00,3264.00,GE0000000010,08/05/2015,4,RCPT0000000018,08/05/2015,4,,,PB0000128,08/05/2015
PO00060,06/05/2015,"ELFY , EPOXY, ARALDITE ETC.",PCS,1,1990.00,1990.00,,,,,,,,,,
PO00061,06/05/2015,STRECH FILM,KG,125,145.00,18125.00,GE0000000029,09/05/2015,122.8,RCPT0000000081,09/05/2015,122.8,,,PB0000139,09/05/2015
PO00062,06/05/2015,R&M BUILDING,PC,3,170.00,510.00,,,,,,,,,,
PO00063,07/05/2015,MS PIPE FITTINGS,PCS,1,3370.00,3370.00,,,,,,,,,,
PO00064,07/05/2015,SULPHURIC ACID,ML,4,388.50,1554.00,GE0000000014,11/05/2015,4,RCPT0000000022,11/05/2015,4,,,PB0000144,11/05/2015
PO00065,07/05/2015,OIL SEAL  30X47X7X10,PCS,10,240.00,2400.00,GE0000000013,08/05/2015,10,RCPT0000000021,08/05/2015,10,,,PB0000135,08/05/2015
PO00065,07/05/2015,OIL SEAL  32X52X7X10,PCS,10,280.00,2800.00,GE0000000013,08/05/2015,10,RCPT0000000021,08/05/2015,10,,,PB0000135,08/05/2015
PO00065,07/05/2015,OIL SEAL  50X72X7-8 ( MAG ),PCS,10,390.00,3900.00,GE0000000013,08/05/2015,10,RCPT0000000021,08/05/2015,10,,,PB0000135,08/05/2015
PO00065,07/05/2015,MISC. OIL SEALS,PCS,48,54.50,2616.00,,,,,,,,,,
PO00066,07/05/2015,BEARING - 6900ZZ,PCS,6,130.20,781.20,GE0000000011,08/05/2015,6,RCPT0000000019,08/05/2015,6,,,PB0000129,07/05/2015
PO00067,07/05/2015,PHENOPHTHELENE  SOLU. 8.3- 10,ML,6,157.50,945.00,GE0000000012,08/05/2015,6,RCPT0000000020,08/05/2015,6,,,PB0000134,08/05/2015
PO00068,07/05/2015,BRUSH,PCS,16,535.00,8560.00,,,,,,,,,,
PO00069,07/05/2015,MICROMETER,PCS,2,2662.50,5325.00,,,,,,,,,,
PO00070,07/05/2015,BARCODE PAPER LABEL-30X15X1,PCS,50000,0.05,2500.00,GE0000000032,11/05/2015,50000,RCPT0000000084,11/05/2015,50000,,,PB0000142,11/05/2015
PO00070,07/05/2015,BARCODE PAPER LABEL-30X20X1,PCS,50000,0.05,2500.00,GE0000000032,11/05/2015,50000,RCPT0000000084,11/05/2015,50000,,,PB0000142,11/05/2015
PO00071,07/05/2015,SANITRY ITEMS,PCS,1,48084.00,48084.00,,,,,,,,,,
PO00072,07/05/2015,WOODEN BOX 38*29*27,PCS,6,970.00,5820.00,GE0000000030,09/05/2015,6,RCPT0000000082,09/05/2015,6,,,PB0000140,09/05/2015
PO00073,07/05/2015,MISC. BUILDING MATERIALS,KG,1,5062.00,5062.00,,,,,,,,,,
PO00074,12/05/2015,MAG-MISC. SPARE PARTS,PCS,2,18200.00,36400.00,,,,,,,,,,
PO00075,13/05/2015,CONTACTORS & TIMERS & RELAYS,PCS,1,4750.00,4750.00,,,,,,,,,,
PO00076,13/05/2015,ELECTRICAL-MISC,PCS,30,55.00,1650.00,,,,,,,,,,
PO00077,13/05/2015,LUBECKAN W-25,L,720,166.00,119520.00,GE0000000015,14/05/2015,720,RCPT0000000026,16/05/2015,720,,,PB0000206,16/05/2015
PO00078,13/05/2015,WELDING ROD,PCS,3,450.00,1350.00,GE0000000016,14/05/2015,3,RCPT0000000023,14/05/2015,3,,,PB0000160,14/05/2015
PO00079,13/05/2015,MISC. BUILDING MATERIALS,KG,1,5062.00,5062.00,,,,,,,,,,
PO00080,13/05/2015,MISC. BUILDING MATERIALS,KG,10,170.00,1700.00,,,,,,,,,,
PO00081,13/05/2015,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1194,25.00,29850.00,GE0000000069,11/06/2015,1194,RCPT0000000120,11/06/2015,1194,,,,
PO00081,13/05/2015,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2516,11.00,27676.00,,,,,,,,,,
PO00081,13/05/2015,WRAPPER-PT-10/15 -  195 X 640 MM,KG,545,46.00,25070.00,GE0000000035,14/05/2015,545,RCPT0000000087,14/05/2015,545,,,PB0000163,14/05/2015
PO00082,13/05/2015,VAR-SOLDREX - 35,KG,1050,155.00,162750.00,,,,,,,,,,
PO00083,13/05/2015,BULBS ALL TYPES,PCS,10,100.00,1000.00,,,,,,,,,,
PO00084,13/05/2015,WRAPPER- MISC.,KG,750,1.95,1462.50,,,,,,,,,,
PO00085,07/05/2015,MISC. BUILDING MATERIALS,KG,1,34640.00,34640.00,,,,,,,,,,
PO00086,14/05/2015,WHITE WASH & PAINTS & BRUSHES,PCS,1,21618.00,21618.00,,,,,,,,,,
PO00087,14/05/2015,COPPER WIRE / ROD,KG,11982,417.00,4996494.00,GE0000000064,14/05/2015,5980,RCPT0000000065,14/05/2015,5980,,,PB0000166,14/05/2015
,,,,,,,GE0000000065,14/05/2015,3004,RCPT0000000066,14/05/2015,3004,,,PB0000385,08/06/2015
,,,,,,,,,,,,,,,PB0000167,14/05/2015
,,,,,,,GE0000000066,14/05/2015,2998,RCPT0000000067,14/05/2015,2998,,,PB0000391,08/06/2015
,,,,,,,,,,,,,,,PB0000168,14/05/2015
PO00088,14/05/2015,"TAPE- 2"" TRANSPARENT",PCS,1,1650.00,1650.00,GE0000000036,14/05/2015,1,RCPT0000000088,14/05/2015,1,,,PB0000169,14/05/2015
PO00089,14/05/2015,COPPER WIRE / ROD,KG,11986,417.00,4998162.00,GE0000000028,14/05/2015,3030,RCPT0000000027,14/05/2015,3030,,,PB0000354,04/06/2015
,,,,,,,,,,,,,,,PB0000170,14/05/2015
,,,,,,,GE0000000029,14/05/2015,2994,RCPT0000000028,14/05/2015,2994,,,PB0000372,08/06/2015
,,,,,,,,,,,,,,,PB0000171,14/05/2015
,,,,,,,GE0000000030,14/05/2015,5962,RCPT0000000029,14/05/2015,5962,,,PB0000214,27/05/2015
,,,,,,,,,,,,,,,PB0000174,14/05/2015
PO00090,14/05/2015,WOODEN BOX 38*29*27,PCS,6,970.00,5820.00,GE0000000037,14/05/2015,6,RCPT0000000089,14/05/2015,6,,,PB0000172,14/05/2015
PO00091,13/05/2015,CENTRIFUGAL OIL CLEANING ASSEMBLY,PCS,1,80000.00,80000.00,,,,,,,,,,
PO00092,14/05/2015,"TAPE- 2"" TRANSPARENT",PCS,405,25.00,10125.00,GE0000000038,14/05/2015,405,RCPT0000000090,14/05/2015,405,,,PB0000173,14/05/2015
PO00093,14/05/2015,PIPE & PIPE FITTINGS,PCS,1,7084.00,7084.00,,,,,,,,,,
PO00095,15/05/2015,MISC. BUILDING MATERIALS,KG,1,29508.00,29508.00,,,,,,,,,,
PO00096,15/05/2015,BASE COAT THINNER,KG,360,117.00,42120.00,GE0000000028,31/05/2015,180,RCPT0000000037,31/05/2015,180,,,PB0000317,31/05/2015
,,,,,,,GE0000000029,31/05/2015,180,RCPT0000000038,31/05/2015,180,,,PB0000318,31/05/2015
PO00096,15/05/2015,TOP COAT THINNER,KG,180,222.00,39960.00,GE0000000029,31/05/2015,180,RCPT0000000038,31/05/2015,180,,,PB0000318,31/05/2015
PO00097,15/05/2015,DIES WIRE DRAWING PCD,PCS,1,10485.00,10485.00,,,,,,,,,,
PO00098,15/05/2015,THERMOMETER,PCS,1,18589.00,18589.00,,,,,,,,,,
PO00099,14/05/2015,BEARING - 3308,PCS,2,4358.20,8716.40,GE0000000017,15/05/2015,2,RCPT0000000024,15/05/2015,2,,,PB0000187,15/05/2015
PO00099,14/05/2015,BEARING - 6306,PCS,2,256.90,513.80,GE0000000017,15/05/2015,2,RCPT0000000024,15/05/2015,2,,,PB0000187,15/05/2015
PO00099,14/05/2015,BEARING- 6301-2Z,PCS,4,81.20,324.80,GE0000000018,15/05/2015,4,RCPT0000000025,15/05/2015,4,,,PB0000193,15/05/2015
PO00099,14/05/2015,BEARING- 6305,PCS,2,219.10,438.20,GE0000000018,15/05/2015,2,RCPT0000000025,15/05/2015,2,,,PB0000193,15/05/2015
PO00101,15/05/2015,MISC. BUILDING MATERIALS,KG,1,9800.00,9800.00,,,,,,,,,,
PO00102,15/05/2015,MISC. BUILDING MATERIALS,KG,1,35535.00,35535.00,,,,,,,,,,
PO00103,15/05/2015,WOODEN PALLET 44*33,PCS,25,530.00,13250.00,GE0000000045,15/05/2015,25,RCPT0000000097,15/05/2015,25,,,PB0000202,15/05/2015
PO00104,14/05/2015,"PLAS SPOOL PT-10""",PCS,200,50.00,10000.00,GE0000000050,29/05/2015,200,RCPT0000000101,29/05/2015,200,,,PB0000229,29/05/2015
PO00104,14/05/2015,MISC. PLASTIC REELS,PCS,660,30.00,19800.00,,,,,,,,,,
PO00104,14/05/2015,PLAS SPOOL PT-10,PCS,2000,35.50,71000.00,GE0000000050,29/05/2015,2000,RCPT0000000101,29/05/2015,2000,,,PB0000229,29/05/2015
PO00104,14/05/2015,PLASTIC BUCKET PT-25,PCS,624,42.75,26676.00,GE0000000050,29/05/2015,624,RCPT0000000101,29/05/2015,624,,,PB0000229,29/05/2015
PO00105,15/05/2015,PRINTING ITEMS,PCS,1,4100.00,4100.00,,,,,,,,,,
PO00106,15/05/2015,DRIVE,PCS,2,59785.00,119570.00,,,,,,,,,,
PO00107,14/05/2015,ELECTRICAL-MISC,PCS,1,8670.00,8670.00,,,,,,,,,,
PO00108,14/05/2015,ELECTRICAL-MISC,PCS,1,1900.00,1900.00,,,,,,,,,,
PO00109,14/05/2015,PLASTIC SPOOL PT-20,PCS,520,38.75,20150.00,GE0000000041,15/05/2015,520,RCPT0000000093,15/05/2015,520,,,PB0000190,15/05/2015
PO00109,14/05/2015,PLAS SPOOL PT-25,PCS,1600,42.75,68400.00,GE0000000041,15/05/2015,1600,RCPT0000000093,15/05/2015,1600,,,PB0000190,15/05/2015
PO00110,14/05/2015,HOUSE KEEPING MACHINE SPARE PARTS,PCS,1,7663.00,7663.00,,,,,,,,,,
PO00111,14/05/2015,"HAND TOOLS ( DRILL , TAP , DIE , TOOL BIT , FILE ETC. )",PCS,1,1490.00,1490.00,,,,,,,,,,
PO00112,14/05/2015,WOODEN PALLET 37*37,PCS,25,500.00,12500.00,GE0000000042,15/05/2015,25,RCPT0000000094,15/05/2015,25,,,PB0000196,15/05/2015
PO00113,14/05/2015,MISC. STATIONERY ITEMS,PCS,20,150.00,3000.00,,,,,,,,,,
PO00114,15/05/2015,WOODEN PALLET 37*25.50,PCS,2,370.00,740.00,GE0000000044,15/05/2015,2,RCPT0000000096,15/05/2015,2,,,PB0000200,15/05/2015
PO00114,15/05/2015,WOODEN PALLET 37*37,PCS,30,520.00,15600.00,GE0000000044,15/05/2015,30,RCPT0000000096,15/05/2015,30,,,PB0000200,15/05/2015
PO00115,15/05/2015,"TAPE- 1"" TRANSPARENT",PCS,1,3000.00,3000.00,GE0000000040,15/05/2015,1,RCPT0000000092,15/05/2015,1,,,PB0000189,15/05/2015
PO00116,15/05/2015,TEA & COFFEE,KG,32,190.00,6080.00,,,,,,,,,,
PO00117,15/05/2015,ELECTRICAL-MISC,PCS,1,2550.00,2550.00,,,,,,,,,,
PO00118,15/05/2015,ELECTRICAL-MISC,PCS,1,6090.00,6090.00,,,,,,,,,,
PO00119,15/05/2015,WOODEN PALLET 37*25.50,PCS,25,440.00,11000.00,GE0000000046,15/05/2015,25,RCPT0000000098,15/05/2015,25,,,PB0000205,15/05/2015
PO00119,15/05/2015,WOODEN PALLET 37*37,PCS,25,500.00,12500.00,GE0000000046,15/05/2015,25,RCPT0000000098,15/05/2015,25,,,PB0000205,15/05/2015
PO00120,15/05/2015,DIES WIRE DRAWING PCD,PCS,1,8350.00,8350.00,,,,,,,,,,
PO00121,18/05/2015,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1561,25.00,39025.00,GE0000000051,31/05/2015,1561,RCPT0000000102,31/05/2015,1561,,,PB0000280,31/05/2015
PO00122,18/05/2015,BEARING - 6009ZZ,PCS,4,280.00,1120.00,GE0000000023,31/05/2015,4,RCPT0000000032,31/05/2015,4,,,PB0000279,31/05/2015
PO00123,18/05/2015,MISC. BUILDING MATERIALS,KG,64,27.00,1728.00,,,,,,,,,,
PO00124,15/05/2015,"IRON PATTI-1/2"" & NAILS",KG,102,64.00,6528.00,GE0000000020,29/05/2015,101.1,RCPT0000000029,29/05/2015,101.1,,,PB0000221,29/05/2015
