Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000209,16-05-2015,Savitri Enterprises,,MRN-414 BILL 228,13-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,29508.00,0.00,0.00,0.00,0.00,0.00,0.00,3689.00,0.00,443.00,0.00,0.00
PB0000210,24-05-2015,Aditi Printers,,,,,,INR,PRINTING ITEMS,PCS,1.00,4100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000211,25-05-2015,PINKY GRANITES,,,,,,INR,MISC. BUILDING MATERIALS,KG,1.00,58094.00,0.00,0.00,0.00,0.00,0.00,0.00,7262.00,0.00,871.00,0.00,0.00
PB0000212,25-05-2015,Zoom Apparels Pvt. Ltd.,,,,,,INR,MISC. BUILDING MATERIALS,KG,100.00,25800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000213,25-05-2015,Zoom Apparels Pvt. Ltd.,,,,,,INR,MISC. BUILDING MATERIALS,KG,2023.20,83214.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000218,28-05-2015,ELANTAS Beck India Ltd.,RCPT0000000024,160,20-04-2015,160,21-04-2015,INR,TEREBEC MT 543-38,KG,2100.00,396900.00,0.00,0.00,0.00,8930.00,49613.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000219,29-05-2015,DEEBA DIES & TOOLS,,MRN-443/3550,14-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,8350.00,0.00,0.00,0.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000220,29-05-2015,Walson Woodburn Wire Die Pvt Ltd.,,MRN-444/151,11-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,12870.00,0.00,0.00,0.00,290.00,1609.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000221,29-05-2015,Delhi Sales Corporation,RCPT0000000029,91,15-05-2015,MRN-445,15-05-2015,INR,"IRON PATTI-1/2"" & NAILS",KG,101.10,6470.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.00,0.00,65.00,0.00
PB0000222,29-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-446/271,14-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,2295.00,0.00,0.00,0.00,0.00,0.00,0.00,287.00,0.00,34.00,0.00,0.00
PB0000229,29-05-2015,Vikas Spool PVt. Ltd,RCPT0000000101,339,12-05-2015,MRN-416,13-05-2015,INR,PLAS SPOOL PT-10,PCS,2000.00,71000.00,0.00,0.00,0.00,1598.00,8875.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,"PLAS SPOOL PT-10""",PCS,200.00,10000.00,0.00,0.00,0.00,225.00,1250.00,0.00,0.00,0.00,0.00,0.00,0.00
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000229,29-05-2015,Vikas Spool PVt. Ltd,RCPT0000000101,339,12-05-2015,MRN-416,13-05-2015,INR,PLASTIC BUCKET PT-25,PCS,624.00,26676.00,0.00,0.00,0.00,600.00,3335.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000230,29-05-2015,Vikas Spool PVt. Ltd,,MRN-416/339,12-05-2015,,,INR,MISC. PLASTIC REELS,PCS,660.00,19800.00,0.00,0.00,0.00,446.00,2475.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000231,29-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-429/256,14-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,6425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000232,29-05-2015,MODERN SCIENTIFIC CORPORATION,RCPT0000000030,1032,14-05-2015,MRN-431,14-05-2015,INR,WAX PARAFIN,KG,1.00,3970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.00,0.00,40.00,0.00
PB0000233,29-05-2015,Savitri Enterprises,,MRN-433/236,14-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,16.80,3864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,0.00,39.00,0.00
PB0000234,29-05-2015,Savitri Enterprises,,,,,,INR,MISC. BUILDING MATERIALS,KG,1.00,5700.00,0.00,0.00,0.00,0.00,0.00,0.00,713.00,0.00,86.00,0.00,0.00
PB0000235,29-05-2015,Sealwell,RCPT0000000031,133,11-05-2015,MRN-437,15-05-2015,INR,FELT 410X40X8 MM DENSITY 0.20 GM/CM3,KG,21.80,6758.00,0.00,0.00,0.00,135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,FELT 50X30X8 DENSITY 0.28GM/CM3,KG,4.60,4255.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000355,27-05-2015,Sesa Sterlite Ltd - Vedanta Aluminium& Power,RCPT0000000003,1802000099,22-05-2015,MRN-518,22-05-2015,INR,ALUMINIUM WIRE / ROD,KG,4081.00,646632.00,0.00,0.00,0.00,13611.00,80829.00,0.00,0.00,0.00,0.00,0.00,0.00
 Total :,,,,,,,,,,,,,,65.00,198819.00,42892.00,9114563.00,20114.00,24009.00,2418163.00,2881.00,604543.00,0.00
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Net Amount,,,,,,,,,
PB0000112,06-05-2015,Hindalco,RCPT0000000051,DGH/15000294,04-05-2015,DGH/15000294,04-05-2015,INR,COPPER WIRE / ROD,KG,5975.00,2515708.02,2987.50,2968693.52,,,,,,,,,
PB0000113,06-05-2015,Hindalco,RCPT0000000052,DGH/15000295,04-05-2015,DGH/15000295,04-05-2015,INR,COPPER WIRE / ROD,KG,5999.00,2525812.96,2999.50,2980617.46,,,,,,,,,
PB0000114,06-05-2015,Hindalco,RCPT0000000053,DGH/15000305,05-05-2015,DGH/15000305,05-05-2015,INR,COPPER WIRE / ROD,KG,3003.00,1264380.12,1501.50,1492047.62,,,,,,,,,
PB0000115,06-05-2015,Hindalco,RCPT0000000054,DGH/15000306,05-05-2015,DGH/15000306,05-05-2015,INR,COPPER WIRE / ROD,KG,2993.00,1260169.73,1496.50,1487079.23,,,,,,,,,
PB0000116,06-05-2015,Hindalco,RCPT0000000055,DGH/15000307,05-05-2015,DGH/15000307,05-05-2015,INR,COPPER WIRE / ROD,KG,3007.00,1266064.27,1503.50,1494034.77,,,,,,,,,
PB0000117,06-05-2015,Hindalco,RCPT0000000056,DGH/15000308,05-05-2015,DGH/15000308,05-05-2015,INR,COPPER WIRE / ROD,KG,3018.00,1270695.70,1509.00,1499499.70,,,,,,,,,
PB0000118,06-05-2015,Hindalco,RCPT0000000023,DCR/15000733,05-05-2015,DCR/15000733,06-05-2015,INR,COPPER WIRE / ROD,KG,8955.00,3770404.24,0.00,4284122.24,,,,,,,,,
PB0000119,06-05-2015,Hindalco,RCPT0000000024,DCR/15000734,05-05-2015,DCR/15000734,05-05-2015,INR,COPPER WIRE / ROD,KG,2980.00,1254696.22,0.00,1425648.22,,,,,,,,,
PB0000128,08-05-2015,Scientific Agencies Pvt. Ltd,RCPT0000000018,107,29-04-2015,107,01-05-2015,INR,WAX PARAFIN,KG,4.00,3264.00,0.00,3329.00,,,,,,,,,
PB0000129,07-05-2015,Arvind Bearing & Mill Store,RCPT0000000019,314,01-05-2015,314,01-05-2015,INR,BEARING - 6900ZZ,PCS,6.00,781.20,0.00,820.20,,,,,,,,,
PB0000130,07-05-2015,NALWA TRADING AGENCIES,,006,02-05-2015,,,INR,MS PIPE FITTINGS,PCS,1.00,3370.00,0.00,3370.00,,,,,,,,,
PB0000131,07-05-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000030,51,02-05-2015,51,03-05-2015,INR,VAR-HIGH SPEED,KG,4200.00,378000.00,0.00,433755.00,,,,,,,,,
PB0000132,08-05-2015,Fuming Beverages,,MRN-299/04/05/15 ,04-05-2015,,,INR,TEA & COFFEE,KG,32.00,6080.00,0.00,6080.00,,,,,,,,,
PB0000133,08-05-2015,BANSAL MACHINERY STORE,,MRN 300 BILL NO 82/ ,04-05-2015,,,INR,"ELFY , EPOXY, ARALDITE ETC.",PCS,1.00,1990.00,0.00,2090.00,,,,,,,,,
PB0000134,08-05-2015,BRM ENTERPRISES,RCPT0000000020,1271,02-05-2015,MRN-301,04-05-2015,INR,PHENOPHTHELENE  SOLU. 8.3- 10,ML,6.00,945.00,0.00,945.00,,,,,,,,,
PB0000135,08-05-2015,MYKODA AUTO INDUSTRIES (REGD.),RCPT0000000021,277,02-05-2015,MRN-302,04-05-2015,INR,OIL SEAL  30X47X7X10,PCS,10.00,2400.00,0.00,2520.00,,,,,,,,,
,,,,,,,,,OIL SEAL  32X52X7X10,PCS,10.00,2800.00,0.00,2940.00,,,,,,,,,
,,,,,,,,,OIL SEAL  50X72X7-8 ( MAG ),PCS,10.00,3900.00,0.00,4095.00,,,,,,,,,
PB0000136,08-05-2015,MYKODA AUTO INDUSTRIES (REGD.),,,,,,INR,MISC. OIL SEALS,PCS,48.00,2616.00,0.00,2747.00,,,,,,,,,
PB0000137,09-05-2015,MAHESH PAINTS & HARDWARE STORE,,MRN-307 /04/05/15 BILL ,04-05-2015,,,INR,R&M BUILDING,PC,3.00,510.00,0.00,535.00,,,,,,,,,
PB0000138,09-05-2015,MEGA CARBON PRODUCTS PVT. LTD.,,MRN-308/04/0515 ,01-05-2015,,,INR,BRUSH,PCS,16.00,8560.00,0.00,8646.00,,,,,,,,,
PB0000139,09-05-2015,S.S.Packaging,RCPT0000000081,107,04-05-2015,MRN-309,04-05-2015,INR,STRECH FILM,KG,122.80,17806.00,0.00,21033.00,,,,,,,,,
PB0000140,09-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000082,16,06-05-2015,MRN-325,06-05-2015,INR,WOODEN BOX 38*29*27,PCS,6.00,5820.00,0.00,5820.00,,,,,,,,,
PB0000141,11-05-2015,Vikas Spool PVt. Ltd,RCPT0000000083,278,05-05-2015,MRN-328,06-05-2015,INR,PLAS SPOOL PT-10,PCS,3500.00,124250.00,0.00,142577.00,,,,,,,,,
PB0000142,11-05-2015,Shree Shakti International,RCPT0000000084,35,05-05-2015,MRN-333,06-05-2015,INR,BARCODE PAPER LABEL-30X15X1,PCS,50000.00,2500.00,0.00,2625.00,,,,,,,,,
,,,,,,,,,BARCODE PAPER LABEL-30X20X1,PCS,50000.00,2500.00,0.00,2625.00,,,,,,,,,
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Net Amount
PB0000143,11-05-2015,GANPATI TRADERS,,,,,,INR,SANITRY ITEMS,PCS,1.00,48084.00,0.00,54816.00
PB0000144,11-05-2015,BRM ENTERPRISES,RCPT0000000022,1270,02-05-2015,MRN-335,06-05-2015,INR,SULPHURIC ACID,ML,4.00,1554.00,0.00,1554.00
PB0000145,11-05-2015,MILHARD SALES PVT. LTD.,,,,,,INR,MICROMETER,PCS,2.00,5325.00,0.00,5591.00
PB0000146,11-05-2015,Bharat Box Company,RCPT0000000085,49,08-05-2015,MRN-355,08-05-2015,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1194.00,29850.00,0.00,31343.00
PB0000147,11-05-2015,Bharat Box Company,RCPT0000000086,051,08-05-2015,MRN-358,08-05-2015,INR,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2516.00,27676.00,0.00,29060.00
PB0000148,13-05-2015,Hindalco,RCPT0000000057,DGH/15000358,09-05-2015,MRN-374,09-05-2015,INR,COPPER WIRE / ROD,KG,5994.00,2559438.00,2997.00,3020340.00
PB0000149,13-05-2015,Hindalco,RCPT0000000058,DGH/15000359,09-05-2015,MRN-376,09-05-2015,INR,COPPER WIRE / ROD,KG,5988.00,2556876.00,2994.00,3017316.00
PB0000150,13-05-2015,Hindalco,RCPT0000000059,DGH/15000360,09-05-2015,MRN-378,09-05-2015,INR,COPPER WIRE / ROD,KG,5957.00,2543639.00,2978.50,3001695.50
PB0000151,13-05-2015,Hindalco,RCPT0000000060,DGH/15000361,09-05-2015,MRN-382,09-05-2015,INR,COPPER WIRE / ROD,KG,6015.00,2568405.00,3007.50,3030921.50
PB0000152,13-05-2015,Hindalco,RCPT0000000025,DCR/15000808,09-05-2015,MRN-384,10-05-2015,INR,COPPER WIRE / ROD,KG,5977.00,2552179.00,0.00,2899913.00
PB0000153,13-05-2015,Hindalco,RCPT0000000026,DCR/15000798,09-05-2015,MRN-385,10-05-2015,INR,COPPER WIRE / ROD,KG,5960.00,2544920.00,0.00,2891665.00
PB0000154,13-05-2015,Hindalco,RCPT0000000061,DGH/15000365,11-05-2015,MRN-398,11-05-2015,INR,COPPER WIRE / ROD,KG,6008.00,2565416.00,3004.00,3027394.00
PB0000155,13-05-2015,Hindalco,RCPT0000000062,DGH/15000366,11-05-2015,MRN-399,11-05-2015,INR,COPPER WIRE / ROD,KG,6115.00,2611105.00,3057.50,3081310.50
PB0000156,13-05-2015,Hindalco,RCPT0000000063,DGH/15000370,12-05-2015,MRN-408,12-05-2015,INR,COPPER WIRE / ROD,KG,3803.00,1623881.00,1901.50,1916308.50
PB0000157,13-05-2015,Hindalco,RCPT0000000064,DGH/15000371,12-05-2015,MRN-409,12-05-2015,INR,COPPER WIRE / ROD,KG,2029.00,866383.00,1014.50,1022400.50
PB0000158,14-05-2015,Ganesh Electricals,,MRN/293 BILL NO.238,02-05-2015,,,INR,ELECTRICAL-MISC,PCS,30.00,1650.00,0.00,1733.00
PB0000159,14-05-2015,KHUSI ENTERPRISES,,MRN/314 BILL 109,05-05-2015,,,INR,WRAPPER- MISC.,KG,750.00,1462.50,0.00,1727.50
PB0000160,14-05-2015,Arvind Bearing & Mill Store,RCPT0000000023,322,05-05-2015,MRN315,05-05-2015,INR,WELDING ROD,PCS,3.00,1350.00,0.00,1418.00
PB0000161,14-05-2015,SHRI BAL JI TIMBER & PLYWOOD,,MRN-326 BILL 6,05-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,5062.00,0.00,5771.00
PB0000162,14-05-2015,Savitri Enterprises,,MRN-327 BILL 191,05-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,34640.00,0.00,39490.00
PB0000163,14-05-2015,Bharat Box Company,RCPT0000000087,048,07-05-2015,MRN-339,07-05-2015,INR,WRAPPER-PT-10/15 -  195 X 640 MM,KG,545.00,25070.00,0.00,26324.00
PB0000164,14-05-2015,MAHESH PAINTS & HARDWARE STORE,,130/m340,,,,INR,MISC. BUILDING MATERIALS,KG,10.00,1700.00,0.00,1785.00
PB0000165,14-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-341 BILL224,07-05-2015,,,INR,WHITE WASH & PAINTS & BRUSHES,PCS,1.00,21618.00,0.00,21618.00
PB0000166,14-05-2015,Hindalco,RCPT0000000065,DGH/15000335,07-05-2015,MRN-342,07-05-2015,INR,COPPER WIRE / ROD,KG,5980.00,2493660.00,2990.00,2942647.00
PB0000167,14-05-2015,Hindalco,RCPT0000000066,DGH/15000336,07-05-2015,MRN-343,07-05-2015,INR,COPPER WIRE / ROD,KG,3004.00,1252668.00,1502.00,1478213.00
PB0000168,14-05-2015,Hindalco,RCPT0000000067,DGH/15000337,07-05-2015,MRN-344,07-05-2015,INR,COPPER WIRE / ROD,KG,2998.00,1250166.00,1499.00,1475259.00
PB0000169,14-05-2015,Rathi Adhesive Tape (P) Ltd.,RCPT0000000088,57,07-05-2015,MRN-347,07-05-2015,INR,"TAPE- 2"" TRANSPARENT",PCS,1.00,1650.00,0.00,1949.00
PB0000170,14-05-2015,Hindalco,RCPT0000000027,DCR/15000767,07-05-2015,MRN-352,08-05-2015,INR,COPPER WIRE / ROD,KG,3030.00,1263510.00,0.00,1435663.00
PB0000171,14-05-2015,Hindalco,RCPT0000000028,DCR/15000768,07-05-2015,MRN-353,08-05-2015,INR,COPPER WIRE / ROD,KG,2994.00,1248498.00,0.00,1418606.00
PB0000172,14-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000089,17,08-05-2015,MRN-354,08-05-2015,INR,WOODEN BOX 38*29*27,PCS,6.00,5820.00,0.00,5820.00
PB0000173,14-05-2015,Rathi Adhesive Tape (P) Ltd.,RCPT0000000090,58,08-05-2015,MRN-356,08-05-2015,INR,"TAPE- 2"" TRANSPARENT",PCS,405.00,10125.00,0.00,11961.00
PB0000174,14-05-2015,Hindalco,RCPT0000000029,DCR/15000769,07-05-2015,MRN-357,08-05-2015,INR,COPPER WIRE / ROD,KG,5962.00,2486154.00,0.00,2824892.00
PB0000175,15-05-2015,Hindalco,RCPT0000000068,DGH/15000372,12-05-2015,MRN-410,12-05-2015,INR,COPPER WIRE / ROD,KG,2087.00,891149.00,1043.50,1051626.50
PB0000176,15-05-2015,Hindalco,RCPT0000000069,DGH/15000373,12-05-2015,MRN-411,12-05-2015,INR,COPPER WIRE / ROD,KG,4020.00,1716540.00,2010.00,2025653.00
PB0000177,15-05-2015,Hindalco,RCPT0000000070,DGH/15000378,13-05-2015,MRN-418,13-05-2015,INR,COPPER WIRE / ROD,KG,2987.00,1275449.00,1493.50,1505130.50
PB0000178,15-05-2015,Hindalco,RCPT0000000071,DGH/15000379,13-05-2015,MRN-419,13-05-2015,INR,COPPER WIRE / ROD,KG,3012.00,1286124.00,1506.00,1517729.00
PB0000179,15-05-2015,Hindalco,RCPT0000000072,DGH/15000377,13-05-2015,MRN-420,13-05-2015,INR,COPPER WIRE / ROD,KG,5935.00,2534245.00,2967.50,2990609.50
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Net Amount
PB0000180,15-05-2015,Hindalco,RCPT0000000073,DGH/15000380,13-05-2015,MRN-421,13-05-2015,INR,COPPER WIRE / ROD,KG,5879.00,2510333.00,2939.50,2962391.50
PB0000181,15-05-2015,Hindalco,RCPT0000000074,DGH/15000388,14-05-2015,MRN-427,14-05-2015,INR,COPPER WIRE / ROD,KG,6157.00,2629039.00,3078.50,3102474.50
PB0000182,15-05-2015,Bharat Box Company,RCPT0000000091,057,14-05-2015,MRN-428,14-05-2015,INR,"CORRUGATED BOX PT- 4, 11.50X11.50X8- 5 PLY",PCS,994.00,23607.50,0.00,24787.50
,,,,,,,,,CORRUGATED BOX-PT-10 INTERLOCK,PCS,1404.00,18252.00,0.00,19165.00
PB0000183,15-05-2015,Hindalco,RCPT0000000075,DGH/15000389,14-05-2015,MRN-430,14-05-2015,INR,COPPER WIRE / ROD,KG,5946.00,2538942.00,2973.00,2996152.00
PB0000184,15-05-2015,Hindalco,RCPT0000000030,DCR/15000865,14-05-2015,MRN-435,15-05-2015,INR,COPPER WIRE / ROD,KG,5960.00,2544920.00,0.00,2891665.00
PB0000185,15-05-2015,Hindalco,RCPT0000000076,DGH/15000400,15-05-2015,MRN-438,15-05-2015,INR,COPPER WIRE / ROD,KG,5918.00,2526986.00,2959.00,2982043.00
PB0000186,15-05-2015,Hindalco,RCPT0000000077,DGH/1500399,15-05-2015,MRN-439,15-05-2015,INR,COPPER WIRE / ROD,KG,5929.00,2531683.00,2964.50,2987585.50
PB0000187,15-05-2015,Arvind Bearing & Mill Store,RCPT0000000024,363,07-05-2015,MRN-351,07-05-2015,INR,BEARING - 3308,PCS,2.00,8716.40,0.00,9152.40
,,,,,,,,,BEARING - 6306,PCS,2.00,513.80,0.00,539.80
PB0000188,15-05-2015,V.S. Traders,,MRN-359 BILL 37,08-05-2015,,,INR,PIPE & PIPE FITTINGS,PCS,1.00,7084.00,0.00,7438.00
PB0000189,15-05-2015,PERFECT PACKERS,RCPT0000000092,,,,,INR,"TAPE- 1"" TRANSPARENT",PCS,1.00,3000.00,0.00,3150.00
PB0000190,15-05-2015,Vikas Spool PVt. Ltd,RCPT0000000093,309,08-05-2015,MRN-372,09-05-2015,INR,PLAS SPOOL PT-25,PCS,1600.00,68400.00,0.00,78489.00
,,,,,,,,,PLASTIC SPOOL PT-20,PCS,520.00,20150.00,0.00,23122.00
PB0000191,15-05-2015,Ganesh Electricals,,MRN-373 BILL 279,08-05-2015,,,INR,ELECTRICAL-MISC,PCS,1.00,1900.00,0.00,1995.00
,,,,,,,,,,,,8670.00,0.00,9884.00
PB0000192,15-05-2015,Shri Balaji House Keeping Service,,MRN-377 BILL77,09-05-2015,,,INR,HOUSE KEEPING MACHINE SPARE PARTS,PCS,1.00,7663.00,0.00,7663.00
PB0000193,15-05-2015,Arvind Bearing & Mill Store,RCPT0000000025,376,09-05-2015,MRN-380,09-05-2015,INR,BEARING- 6301-2Z,PCS,4.00,324.80,0.00,340.80
,,,,,,,,,BEARING- 6305,PCS,2.00,438.20,0.00,460.20
PB0000194,15-05-2015,Walson Woodburn Wire Die Pvt Ltd.,,MRN-381 BILL 135,06-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,10485.00,0.00,12032.00
PB0000195,15-05-2015,BANSAL MACHINERY STORE,,MRN-388 BILL 96,10-05-2015,,,INR,"HAND TOOLS ( DRILL , TAP , DIE , TOOL BIT , FILE ETC. )",PCS,1.00,1490.00,0.00,1565.00
PB0000196,15-05-2015,Iskon Packaging Wood Works,RCPT0000000094,08,10-05-2015,MRN-390,10-05-2015,INR,WOODEN PALLET 37*37,PCS,25.00,12500.00,0.00,13125.00
PB0000197,15-05-2015,Shri Balaji House Keeping Service,,MRN-391 BILL78,10-05-2015,,,INR,MISC. STATIONERY ITEMS,PCS,20.00,3000.00,0.00,3000.00
PB0000198,15-05-2015,AGGARWAL SANITARY & HARDWARE STORE,,MRN-392 BILL 126,10-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,17925.00,0.00,18821.00
PB0000199,15-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000095,19,10-05-2015,MRN-393,11-05-2015,INR,WOODEN PALLET 37*25.50,PCS,8.00,2960.00,0.00,2960.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,5.00,2800.00,0.00,2800.00
PB0000200,15-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000096,20,11-05-2015,MRN-394,11-05-2015,INR,WOODEN PALLET 37*25.50,PCS,2.00,740.00,0.00,740.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,30.00,15600.00,0.00,15600.00
PB0000201,15-05-2015,Savitri Enterprises,,MRN-395 BILL 221,11-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,35535.00,0.00,37311.00
PB0000202,15-05-2015,Iskon Packaging Wood Works,RCPT0000000097,09,11-05-2015,MRN-396,11-05-2015,INR,WOODEN PALLET 44*33,PCS,25.00,13250.00,0.00,13913.00
PB0000203,15-05-2015,Fuming Beverages,,MRN-397 BILL 228,11-05-2015,,,INR,TEA & COFFEE,KG,32.00,6080.00,0.00,6080.00
PB0000205,15-05-2015,Iskon Packaging Wood Works,RCPT0000000098,10,12-05-2015,MRN-405,12-05-2015,INR,WOODEN PALLET 37*25.50,PCS,25.00,11000.00,0.00,11550.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,25.00,12500.00,0.00,13125.00
PB0000206,16-05-2015,ELANTAS Beck India Ltd.,RCPT0000000026,716,28-04-2015,MRN-313,05-05-2015,INR,LUBECKAN W-25,L,720.00,119520.00,0.00,138978.00
PB0000207,16-05-2015,HPT AND COMPANY,,MRN-366,08-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,9800.00,0.00,10290.00
PB0000208,16-05-2015,Wirex Dies & Steel (I) Pvt. Ltd.,RCPT0000000027,092,07-05-2015,MRN-400,11-05-2015,INR,LUB. OIL ( GRADE 40 ),L,210.00,24150.00,0.00,28082.00
PB0000209,16-05-2015,Savitri Enterprises,,MRN-414 BILL 228,13-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,29508.00,0.00,33640.00
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Net Amount
PB0000210,24-05-2015,Aditi Printers,,,,,,INR,PRINTING ITEMS,PCS,1.00,4100.00,0.00,4100.00
PB0000211,25-05-2015,PINKY GRANITES,,,,,,INR,MISC. BUILDING MATERIALS,KG,1.00,58094.00,0.00,66227.00
PB0000212,25-05-2015,Zoom Apparels Pvt. Ltd.,,,,,,INR,MISC. BUILDING MATERIALS,KG,100.00,25800.00,0.00,25800.00
PB0000213,25-05-2015,Zoom Apparels Pvt. Ltd.,,,,,,INR,MISC. BUILDING MATERIALS,KG,2023.20,83214.22,0.00,83214.22
PB0000218,28-05-2015,ELANTAS Beck India Ltd.,RCPT0000000024,160,20-04-2015,160,21-04-2015,INR,TEREBEC MT 543-38,KG,2100.00,396900.00,0.00,455443.00
PB0000219,29-05-2015,DEEBA DIES & TOOLS,,MRN-443/3550,14-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,8350.00,0.00,8517.00
PB0000220,29-05-2015,Walson Woodburn Wire Die Pvt Ltd.,,MRN-444/151,11-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,12870.00,0.00,14769.00
PB0000221,29-05-2015,Delhi Sales Corporation,RCPT0000000029,91,15-05-2015,MRN-445,15-05-2015,INR,"IRON PATTI-1/2"" & NAILS",KG,101.10,6470.40,0.00,6794.40
PB0000222,29-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-446/271,14-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,2295.00,0.00,2616.00
PB0000229,29-05-2015,Vikas Spool PVt. Ltd,RCPT0000000101,339,12-05-2015,MRN-416,13-05-2015,INR,PLAS SPOOL PT-10,PCS,2000.00,71000.00,0.00,81473.00
,,,,,,,,,"PLAS SPOOL PT-10""",PCS,200.00,10000.00,0.00,11475.00
,,,,,,,,,PLASTIC BUCKET PT-25,PCS,624.00,26676.00,0.00,30611.00
PB0000230,29-05-2015,Vikas Spool PVt. Ltd,,MRN-416/339,12-05-2015,,,INR,MISC. PLASTIC REELS,PCS,660.00,19800.00,0.00,22721.00
PB0000231,29-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-429/256,14-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,6425.00,0.00,6425.00
PB0000232,29-05-2015,MODERN SCIENTIFIC CORPORATION,RCPT0000000030,1032,14-05-2015,MRN-431,14-05-2015,INR,WAX PARAFIN,KG,1.00,3970.00,0.00,4169.00
PB0000233,29-05-2015,Savitri Enterprises,,MRN-433/236,14-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,16.80,3864.00,0.00,4058.00
PB0000234,29-05-2015,Savitri Enterprises,,,,,,INR,MISC. BUILDING MATERIALS,KG,1.00,5700.00,0.00,6499.00
