Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000141,11-05-2015,Vikas Spool PVt. Ltd,RCPT0000000083,278,05-05-2015,MRN-328,06-05-2015,INR,PLAS SPOOL PT-10,PCS,3500.00,124250.00,0.00,0.00,0.00,2796.00,15531.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000142,11-05-2015,Shree Shakti International,RCPT0000000084,35,05-05-2015,MRN-333,06-05-2015,INR,BARCODE PAPER LABEL-30X15X1,PCS,50000.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,25.00,0.00
,,,,,,,,,BARCODE PAPER LABEL-30X20X1,PCS,50000.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,25.00,0.00
PB0000143,11-05-2015,GANPATI TRADERS,,,,,,INR,SANITRY ITEMS,PCS,1.00,48084.00,0.00,0.00,0.00,0.00,0.00,0.00,6011.00,0.00,721.00,0.00,0.00
PB0000144,11-05-2015,BRM ENTERPRISES,RCPT0000000022,1270,02-05-2015,MRN-335,06-05-2015,INR,SULPHURIC ACID,ML,4.00,1554.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000145,11-05-2015,MILHARD SALES PVT. LTD.,,,,,,INR,MICROMETER,PCS,2.00,5325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.00,0.00,53.00,0.00
PB0000146,11-05-2015,Bharat Box Company,RCPT0000000085,49,08-05-2015,MRN-355,08-05-2015,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1194.00,29850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1194.00,0.00,299.00,0.00
PB0000147,11-05-2015,Bharat Box Company,RCPT0000000086,051,08-05-2015,MRN-358,08-05-2015,INR,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2516.00,27676.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1107.00,0.00,277.00,0.00
PB0000148,13-05-2015,Hindalco,RCPT0000000057,DGH/15000358,09-05-2015,MRN-374,09-05-2015,INR,COPPER WIRE / ROD,KG,5994.00,2559438.00,2997.00,0.00,0.00,0.00,319930.00,0.00,0.00,115175.00,0.00,28794.00,0.00
PB0000149,13-05-2015,Hindalco,RCPT0000000058,DGH/15000359,09-05-2015,MRN-376,09-05-2015,INR,COPPER WIRE / ROD,KG,5988.00,2556876.00,2994.00,0.00,0.00,0.00,319610.00,0.00,0.00,115059.00,0.00,28765.00,0.00
PB0000150,13-05-2015,Hindalco,RCPT0000000059,DGH/15000360,09-05-2015,MRN-378,09-05-2015,INR,COPPER WIRE / ROD,KG,5957.00,2543639.00,2978.50,0.00,0.00,0.00,317955.00,0.00,0.00,114464.00,0.00,28616.00,0.00
