Voucher Id,Invoice ,Invoice ,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currenc,Group,Item Description,Unit,Quantity,Gross Amount,Discount,Additional Custom ,Basic Custom Duty,Basic Custom Duty ,Basic Custom Duty ,Central Sales Tax ,Cst Purchase @1%,Cst Purchase @2%,Cvd,Ec On Purchase ,Excise On ,Excise On ,Excise On ,Hec On Purchase ,Input Vat - 12.50% ,Input Vat - 4.00% ,Input Vat ,Input Vat ,
PB000038,PB0000041,14-04-2015,Hindalco,RCPT0000000020,DGH/15000061,13-04-2015,,13-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2978.00,1241826.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155228.00,0.00,0.00,0.00,55882.00,0.00,13971.00,0.00
PB000039,PB0000040,14-04-2015,Hindalco,RCPT0000000019,DGH/15000060,13-04-2015,,13-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,3038.00,1266846.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158356.00,0.00,0.00,0.00,57008.00,0.00,14252.00,0.00
PB000040,PB0000039,14-04-2015,Hindalco,RCPT0000000018,DGH/15000059,13-04-2015,,13-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,6038.00,2517846.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314731.00,0.00,0.00,0.00,113303.00,0.00,28326.00,0.00
PB000041,PB0000035,14-04-2015,VIKAS SPOOL PVT. LTD. (SUPPLIER),RCPT0000000059,77,10-04-2015,,11-04-2015,INR,PLASTIC SPOOL,PLAS SPOOL PT-(1-2)/ 130MM,PCS,1000.00,7750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,0.00,969.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,PLAS SPOOL PT-04,PCS,1000.00,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,428.00,0.00,0.00,0.00,2375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,PLAS SPOOL PT-04 ABS NP,PCS,500.00,18000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,405.00,0.00,0.00,0.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,PLAS SPOOL PT-10,PCS,2250.00,79875.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1797.00,0.00,0.00,0.00,9984.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000042,PB0000033,14-04-2015,Hindalco,RCPT0000000013,DGH/15000045,10-04-2015,,10-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2981.00,1243077.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155385.00,0.00,0.00,0.00,55938.00,0.00,13985.00,0.00
PB000043,PB0000037,14-04-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000021,013,10-04-2015,,11-04-2015,INR,ENAMEL,VAR-HIGH SPEED,KG,3150.00,283500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6379.00,0.00,0.00,0.00,35438.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000044,PB0000031,14-04-2015,Hindalco,RCPT0000000012,DGH/15000044,10-04-2015,,10-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2992.00,1247664.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155958.00,0.00,0.00,0.00,56145.00,0.00,14036.00,0.00
