Customer Name,Invoice No.,Invoice Date,Invoice Type,Currency,Item No.,Item Name,Unit,Qty,Price,Gross Amount(Specific),"Tax
(Specific)",Discount,Net Amount(Specific),Net Amount(Base)
G K WINDING WIRES LTD. - PUNE,SI000180,09-04-2015,DIRECT INVOICE,INR,CU2DCMEDPT-90,CU2DCMEDPT-90,KG,754.525,474.290,357863.662,44733.000,0.000,402596.662,402596.662
G K WINDING WIRES LTD. - PUNE,SI000181,09-04-2015,DIRECT INVOICE,INR,AL1.8DCFINEM-266,AL1.8DCFINEM-266,KG,50.910,600.000,30546.000,3818.000,0.000,34364.000,34364.000
G K WINDING WIRES LTD. - PUNE,SI000428,21-04-2015,DIRECT INVOICE,INR,CU0.56DCSBMEDPT-25,CU0.56DCSBMEDPT-25,KG,674.350,551.290,371762.412,46470.000,0.000,418232.412,418232.412
G K WINDING WIRES LTD. - PUNE,SI000428,21-04-2015,DIRECT INVOICE,INR,CU0.95DCMEDPT-180,CU0.95DCMEDPT-180,KG,2607.440,469.790,1224949.238,153119.000,0.000,1378068.238,1378068.238
G K WINDING WIRES LTD. - PUNE,SI000428,21-04-2015,DIRECT INVOICE,INR,CU33MPMEDPT-10,CU33MPMEDPT-10,KG,201.395,497.050,100103.385,12513.000,0.000,112616.385,112616.385
G K WINDING WIRES LTD. - PUNE,SI000428,21-04-2015,DIRECT INVOICE,INR,CU33SSMEDPT-10,CU33SSMEDPT-10,KG,200.625,507.050,101726.906,12716.000,0.000,114442.906,114442.906
G K WINDING WIRES LTD. - PUNE,SI000428,21-04-2015,DIRECT INVOICE,INR,CU36MPMEDPT-10,CU36MPMEDPT-10,KG,192.245,503.050,96708.847,12089.000,0.000,108797.847,108797.847
G K WINDING WIRES LTD. - PUNE,SI000428,21-04-2015,DIRECT INVOICE,INR,CU36SSMEDPT-10,CU36SSMEDPT-10,KG,161.940,513.050,83083.317,10385.000,0.000,93468.317,93468.317
G K WINDING WIRES LTD. - PUNE,SI000562,28-04-2015,DIRECT INVOICE,INR,CU0.87DCFINEPT-180,CU0.87DCFINEPT-180,KG,1332.580,469.540,625699.613,78212.000,0.000,703911.613,703911.613
G K WINDING WIRES LTD. - PUNE,SI000562,28-04-2015,DIRECT INVOICE,INR,CU0.95DCMEDPT-180,CU0.95DCMEDPT-180,KG,658.540,469.790,309375.507,38672.000,0.000,348047.507,348047.507
G K WINDING WIRES LTD. - PUNE,SI000562,28-04-2015,DIRECT INVOICE,INR,CU2DCMEDPT-90,CU2DCMEDPT-90,KG,751.585,474.290,356469.250,44559.000,0.000,401028.250,401028.250
G K WINDING WIRES LTD. - PUNE,SI000562,28-04-2015,DIRECT INVOICE,INR,CU36MPMEDPT-10,CU36MPMEDPT-10,KG,416.475,505.070,210349.028,26294.000,0.000,236643.028,236643.028
G K WINDING WIRES LTD. - PUNE,SI000562,28-04-2015,DIRECT INVOICE,INR,CU40SSFINEPT-10,CU40SSFINEPT-10,KG,507.610,540.240,274231.226,34279.000,0.000,308510.226,308510.226
G K WINDING WIRES LTD. - PUNE,SI000562,28-04-2015,DIRECT INVOICE,INR,CU41HCMEDPT-4,CU41HCMEDPT-4,KG,365.045,555.240,202687.586,25336.000,0.000,228023.586,228023.586
